Video Name,Link to the lecture,Week Number
IC_Lecture 6A,https://hello.iitk.ac.in/sites/default/files/chm102aa2021/IC_Lecture5.pdf?userid=26791&lid=247&filename=IC_Lecture5.pdf,9
IC_Lecture 6B,https://hello.iitk.ac.in/chm102aa2021/#/lecture/248,9
IC_Lecture7,https://hello.iitk.ac.in/sites/default/files/chm102aa2021/IC_Lecture%206A_0.pdf?userid=26791&lid=248&filename=IC_Lecture%206A_0.pdf,9
OChem_Lecture-1,https://hello.iitk.ac.in/chm102aa2021/#/lecture/278,10
OChem_Lecture-2,https://hello.iitk.ac.in/sites/default/files/chm102aa2021/CHM102A_OC-L1-DA.pdf?userid=26791&lid=278&filename=CHM102A_OC-L1-DA.pdf,10
OChem_Lecture 3,https://hello.iitk.ac.in/chm102aa2021/#/lecture/314,11
OChem_Lecture 4,https://hello.iitk.ac.in/sites/default/files/chm102aa2021/CHM102A_OC-L3-DA.pdf?userid=26791&lid=314&filename=CHM102A_OC-L3-DA.pdf,11
OChem_Lecture 5,https://hello.iitk.ac.in/chm102aa2021/#/lecture/316,12
OChem_Lecture 6,https://hello.iitk.ac.in/sites/default/files/chm102aa2021/CHM102A_OC-L5-DA.pdf?userid=26791&lid=316&filename=CHM102A_OC-L5-DA.pdf,12
OChem_Lecture 7,https://hello.iitk.ac.in/chm102aa2021/#/lecture/317,12
